"ntree","test_Er","train_Er"
83,0.254901960784314,0
84,0.333333333333333,0
85,0.235294117647059,0
86,0.215686274509804,0
87,0.274509803921569,0
88,0.392156862745098,0
89,0.254901960784314,0
90,0.274509803921569,0
91,0.333333333333333,0
92,0.352941176470588,0
93,0.254901960784314,0
94,0.313725490196078,0
95,0.294117647058823,0
96,0.313725490196078,0
97,0.372549019607843,0
98,0.196078431372549,0
99,0.392156862745098,0
100,0.196078431372549,0
101,0.333333333333333,0
102,0.196078431372549,0
103,0.372549019607843,0
104,0.235294117647059,0
105,0.235294117647059,0
106,0.215686274509804,0
107,0.274509803921569,0
108,0.313725490196078,0
109,0.254901960784314,0
110,0.274509803921569,0
111,0.294117647058823,0
112,0.215686274509804,0
113,0.333333333333333,0
114,0.294117647058823,0
115,0.392156862745098,0
116,0.333333333333333,0
117,0.333333333333333,0
118,0.235294117647059,0
119,0.431372549019608,0
120,0.333333333333333,0
121,0.215686274509804,0
122,0.333333333333333,0
123,0.215686274509804,0
124,0.235294117647059,0
125,0.215686274509804,0
126,0.196078431372549,0
127,0.333333333333333,0
128,0.411764705882353,0
129,0.196078431372549,0
130,0.333333333333333,0
131,0.313725490196078,0
132,0.333333333333333,0
133,0.372549019607843,0
134,0.274509803921569,0
135,0.372549019607843,0
136,0.254901960784314,0
137,0.333333333333333,0
138,0.294117647058823,0
139,0.235294117647059,0
140,0.333333333333333,0
141,0.372549019607843,0
142,0.274509803921569,0
143,0.352941176470588,0
144,0.274509803921569,0
145,0.215686274509804,0
146,0.294117647058823,0
147,0.215686274509804,0
148,0.313725490196078,0
149,0.254901960784314,0
150,0.254901960784314,0
151,0.313725490196078,0
152,0.215686274509804,0
153,0.294117647058823,0
154,0.372549019607843,0
155,0.274509803921569,0
156,0.333333333333333,0
157,0.313725490196078,0
158,0.294117647058823,0
159,0.235294117647059,0
160,0.235294117647059,0
161,0.215686274509804,0
162,0.294117647058823,0
163,0.274509803921569,0
164,0.294117647058823,0
165,0.372549019607843,0
166,0.313725490196078,0
167,0.215686274509804,0
168,0.333333333333333,0
169,0.235294117647059,0
170,0.352941176470588,0
171,0.254901960784314,0
172,0.411764705882353,0
173,0.254901960784314,0
174,0.392156862745098,0
175,0.313725490196078,0
176,0.254901960784314,0
177,0.411764705882353,0
178,0.392156862745098,0
179,0.392156862745098,0
180,0.411764705882353,0
181,0.274509803921569,0
182,0.313725490196078,0
183,0.372549019607843,0
184,0.352941176470588,0
185,0.392156862745098,0
186,0.254901960784314,0
187,0.313725490196078,0
188,0.294117647058823,0
189,0.392156862745098,0
190,0.333333333333333,0
191,0.352941176470588,0
192,0.392156862745098,0
193,0.313725490196078,0
194,0.352941176470588,0
195,0.333333333333333,0
196,0.294117647058823,0
197,0.333333333333333,0
198,0.313725490196078,0
199,0.372549019607843,0
200,0.274509803921569,0
201,0.313725490196078,0
202,0.274509803921569,0
203,0.333333333333333,0
204,0.196078431372549,0
205,0.313725490196078,0
206,0.294117647058823,0
207,0.215686274509804,0
208,0.352941176470588,0
209,0.215686274509804,0
210,0.215686274509804,0
211,0.274509803921569,0
212,0.313725490196078,0
213,0.294117647058823,0
214,0.274509803921569,0
215,0.294117647058823,0
216,0.196078431372549,0
217,0.196078431372549,0
218,0.215686274509804,0
219,0.215686274509804,0
220,0.372549019607843,0
221,0.215686274509804,0
222,0.294117647058823,0
223,0.333333333333333,0
224,0.294117647058823,0
225,0.274509803921569,0
226,0.294117647058823,0
227,0.196078431372549,0
228,0.235294117647059,0
229,0.196078431372549,0
230,0.215686274509804,0
231,0.333333333333333,0
232,0.235294117647059,0
233,0.333333333333333,0
234,0.254901960784314,0
235,0.392156862745098,0
236,0.313725490196078,0
237,0.294117647058823,0
238,0.411764705882353,0
239,0.313725490196078,0
240,0.215686274509804,0
241,0.333333333333333,0
242,0.333333333333333,0
243,0.274509803921569,0
244,0.313725490196078,0
245,0.372549019607843,0
246,0.254901960784314,0
247,0.372549019607843,0
248,0.196078431372549,0
249,0.372549019607843,0
250,0.274509803921569,0
251,0.274509803921569,0
252,0.313725490196078,0
253,0.215686274509804,0
254,0.254901960784314,0
255,0.333333333333333,0
256,0.196078431372549,0
257,0.294117647058823,0
