"ntree","test_Er","train_Er"
78,0.0392156862745098,0
79,0.0784313725490197,0
80,0.0980392156862745,0
81,0.0196078431372549,0
82,0.0392156862745098,0
83,0.117647058823529,0
84,0.117647058823529,0
85,0.117647058823529,0
86,0.117647058823529,0
87,0.117647058823529,0
88,0.137254901960784,0
89,0.117647058823529,0
90,0.0980392156862745,0
91,0.0588235294117647,0
92,0.0392156862745098,0
93,0.0980392156862745,0
94,0.117647058823529,0
95,0.0588235294117647,0
96,0.0980392156862745,0
97,0.0588235294117647,0
98,0.0392156862745098,0
99,0.0784313725490197,0
100,0.137254901960784,0
101,0.0784313725490197,0
102,0.0784313725490197,0
103,0.0784313725490197,0
104,0.0588235294117647,0
105,0.156862745098039,0
106,0.0588235294117647,0
107,0.0588235294117647,0
108,0.0784313725490197,0
109,0.0588235294117647,0
110,0.0588235294117647,0
111,0.0588235294117647,0
112,0.0784313725490197,0
113,0.0392156862745098,0
114,0.0784313725490197,0
115,0.0588235294117647,0
116,0.0980392156862745,0
117,0.0784313725490197,0
118,0.0588235294117647,0
119,0.0392156862745098,0
120,0.0784313725490197,0
121,0.0392156862745098,0
122,0.0784313725490197,0
123,0.0980392156862745,0
124,0.0784313725490197,0
125,0.0784313725490197,0
126,0.0196078431372549,0
127,0.117647058823529,0
128,0.0392156862745098,0
129,0.0588235294117647,0
130,0.0784313725490197,0
131,0.117647058823529,0
132,0.0588235294117647,0
133,0.0392156862745098,0
134,0.0784313725490197,0
135,0.117647058823529,0
136,0.0588235294117647,0
137,0.0588235294117647,0
138,0.0588235294117647,0
139,0.0980392156862745,0
140,0.0588235294117647,0
141,0.0196078431372549,0
142,0.0588235294117647,0
143,0.0784313725490197,0
144,0.0588235294117647,0
145,0.0588235294117647,0
146,0.0588235294117647,0
147,0.0784313725490197,0
148,0.0980392156862745,0
149,0.0588235294117647,0
150,0.0588235294117647,0
151,0.0588235294117647,0
152,0.0784313725490197,0
153,0.117647058823529,0
154,0.0392156862745098,0
155,0.0784313725490197,0
156,0.0588235294117647,0
157,0.0980392156862745,0
158,0.0784313725490197,0
159,0.0196078431372549,0
160,0.0784313725490197,0
161,0.0588235294117647,0
162,0.0588235294117647,0
163,0.0588235294117647,0
164,0.0784313725490197,0
165,0.0588235294117647,0
166,0.0196078431372549,0
167,0.0784313725490197,0
168,0.0196078431372549,0
169,0.0588235294117647,0
170,0.0392156862745098,0
171,0.0392156862745098,0
172,0.0392156862745098,0
173,0.0588235294117647,0
174,0.0588235294117647,0
175,0.0980392156862745,0
176,0.0588235294117647,0
177,0.0980392156862745,0
178,0.0588235294117647,0
179,0.0784313725490197,0
180,0.0980392156862745,0
181,0.0784313725490197,0
182,0.0588235294117647,0
183,0.0392156862745098,0
184,0.0784313725490197,0
185,0.0588235294117647,0
186,0.0980392156862745,0
187,0.0588235294117647,0
188,0.0392156862745098,0
189,0.0588235294117647,0
190,0.0392156862745098,0
191,0.0784313725490197,0
192,0.0588235294117647,0
193,0.0784313725490197,0
194,0.0980392156862745,0
195,0.0392156862745098,0
196,0.0784313725490197,0
197,0.0588235294117647,0
198,0.0784313725490197,0
199,0.0784313725490197,0
200,0.0392156862745098,0
201,0.0392156862745098,0
202,0.0392156862745098,0
203,0.0784313725490197,0
204,0.0392156862745098,0
205,0.0588235294117647,0
206,0.0784313725490197,0
207,0.0784313725490197,0
208,0.0588235294117647,0
209,0.0588235294117647,0
210,0.0588235294117647,0
211,0.0980392156862745,0
212,0.0392156862745098,0
213,0.0588235294117647,0
214,0.0980392156862745,0
215,0.0588235294117647,0
216,0.0784313725490197,0
217,0.0392156862745098,0
218,0.0980392156862745,0
219,0.0980392156862745,0
220,0.0980392156862745,0
221,0.0392156862745098,0
222,0.0588235294117647,0
223,0.0392156862745098,0
224,0.0588235294117647,0
225,0.0196078431372549,0
226,0.0588235294117647,0
227,0.0392156862745098,0
228,0.0784313725490197,0
229,0.0784313725490197,0
230,0.0588235294117647,0
231,0.0392156862745098,0
232,0.0588235294117647,0
233,0.0392156862745098,0
234,0.0392156862745098,0
235,0.0392156862745098,0
236,0.0588235294117647,0
237,0.0588235294117647,0
238,0.0588235294117647,0
239,0.0196078431372549,0
240,0.0392156862745098,0
241,0.0392156862745098,0
242,0.0784313725490197,0
243,0.0392156862745098,0
244,0.0392156862745098,0
245,0.0588235294117647,0
246,0.0392156862745098,0
247,0.0588235294117647,0
248,0.0784313725490197,0
249,0.0588235294117647,0
250,0.0784313725490197,0
251,0.0784313725490197,0
252,0.117647058823529,0
253,0.0196078431372549,0
254,0.0588235294117647,0
255,0.0784313725490197,0
256,0.0588235294117647,0
